"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1923 <= Year >= 2024"",""Oceanic Tsunami = true"",""Probable Tsunami <= Validity >= Definite Tsunami""]"																																													
	1937	5	29				4	6		1346		1	"PAPUA NEW GUINEA"	"RABAUL"	-4.271	152.203	2.5	4		1.3	1.5		1						1					507	3						1		1		
	1937	8	20	11	59	16	3	1	7.5			0	"PHILIPPINES"	"W. LUZON ISLAND"	14.5	121.5		2		0.5	1													1	1				3		3		3		
	1937	9	21	21	2	0	3	1	5.7			0	"RUSSIA"	"KAMCHATKA"	56	162.5		0			1																								
	1938	2	1	19	4	22	4	1	8.6			0	"INDONESIA"	"BANDA SEA"	-5.045	131.614	1	5		1	1.5								2	24	1	8	1								2	24	1	8	1
	1938	5	12	15	38	57	3	1	7.5			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-6	147.8		1		1									1		1		1								1		1		1
	1938	5	19	17	8	21	4	1	7.6			0	"INDONESIA"	"MAKASSAR STRAIT"	-1	120	3	7		1.6		17	1						1		2			17	1						3	942	3		
	1938	5	23	7	18		4	1	7.1			0	"JAPAN"	"JAPAN TRENCH"	36.7	141.4	0.83	7		-0.3																									
	1938	5	28	16	42		4	1	6.1			0	"JAPAN"	"E. HOKKAIDO ISLAND"	43.6	144.3	0.9	2		-0.1		1	1						1	7	1			1	1						1	7	1		
	1938	6	10	9	53	44.6	4	1	7.6			0	"JAPAN"	"RYUKYU ISLANDS"	25.321	125.115	1.5	1		0.6	0								1												1				
	1938	11	5	8	43	21	4	1	7.7			0	"JAPAN"	"SANRIKU"	37.1	141.7	0.57	17		0.1	-0.5													1	1						1	20	1		
	1938	11	5	10	50	15	4	1	7.6			0	"JAPAN"	"SANRIKU"	37.2	141.7	0.56	12		0.1	-0.5																								
	1938	11	6	8	53	53	4	1	7.5			0	"JAPAN"	"OFF FUKUSHIMA PREFECTURE"	37.5	141.8	1.26	15		0.4	-0.5																								
	1938	11	6	21	38	47	4	1	7.1			0	"JAPAN"	"OFF FUKUSHIMA PREFECTURE"	37	141.7	1.25	11		0.3	-0.5																								
	1938	11	10	20	18	41.2	4	1	8.2			0	"USA"	"SHUMAGIN ISLANDS, AK"	55.48	-158.37	0.3	9		-1.7																									
	1938	11	13	22	31		4	1	6			0	"JAPAN"	"SANRIKU"	37	141.5	0.75	7		-0.5	-1.5																								
	1938	11	22	1	14	0	4	1	6.9			0	"JAPAN"	"SANRIKU"	36.7	142.1	0.3	4		-1.7	-2.5																								
	1938	11	30	2	29	0	4	1	7			0	"JAPAN"	"SANRIKU"	37	142.2	0.2	9		-2.3	-3																								
	1939	3	20	3	22		4	1	6.6			0	"JAPAN"	"SEIKAIDO"	32.3	132	0.8	4		-0.3	0													1	1						1	1	1		
